msoa11,vacancy_rate
E02000001,78.31647669502863
E02000002,88.88888888888889
E02000003,90.59929494712104
E02000004,100.0
E02000005,94.98861047835992
E02000007,96.83794466403161
E02000008,97.80701754385966
E02000009,97.33840304182509
E02000010,86.66666666666667
E02000011,93.27956989247312
E02000012,96.13733905579399
E02000013,93.68932038834951
E02000014,97.19188767550702
E02000015,85.33653846153845
E02000016,94.75743348982786
E02000017,92.25512528473804
E02000018,96.26865671641791
E02000019,61.19402985074627
E02000020,97.03703703703704
E02000021,96.72619047619048
E02000022,48.091603053435115
E02000023,91.42857142857143
E02000024,63.45945945945945
E02000025,60.962566844919785
E02000026,51.21951219512195
E02000027,43.42105263157895
E02000028,64.63414634146342
E02000029,64.3581081081081
E02000030,70.45454545454545
E02000031,59.21658986175116
E02000032,63.77952755905512
E02000033,61.97183098591549
E02000034,66.66666666666666
E02000035,54.424778761061944
E02000036,64.64088397790056
E02000037,65.09433962264151
E02000038,67.33167082294264
E02000039,65.39923954372624
E02000040,60.0
E02000041,66.21951219512195
E02000042,64.75826972010178
E02000043,67.6923076923077
E02000044,64.7887323943662
E02000045,57.798165137614674
E02000046,65.5448717948718
E02000047,67.26907630522089
E02000048,60.35502958579882
E02000049,65.78947368421053
E02000050,69.08212560386472
E02000051,63.013698630136986
E02000052,64.25233644859813
E02000053,65.92797783933518
E02000054,52.77777777777778
E02000055,62.81690140845071
E02000056,67.69759450171821
E02000057,68.65671641791045
E02000058,65.14084507042254
E02000059,54.606741573033716
E02000060,59.0
E02000061,64.97695852534562
E02000062,59.3198992443325
E02000063,69.64285714285714
E02000064,60.60606060606061
E02000065,88.88888888888889
E02000066,73.52941176470588
E02000067,94.80337078651685
E02000068,88.39427662957074
E02000069,98.46153846153847
E02000070,94.28571428571428
E02000071,99.22630560928434
E02000072,79.35483870967742
E02000073,96.04938271604938
E02000074,86.20689655172413
E02000075,99.10313901345292
E02000077,91.74603174603175
E02000078,96.7065868263473
E02000079,89.9057127010538
E02000080,93.26217478318878
E02000081,93.95348837209302
E02000082,95.17241379310344
E02000083,92.64367816091954
E02000084,97.27272727272728
E02000085,96.71592775041051
E02000086,94.56869009584665
E02000087,96.14643545279384
E02000088,96.07843137254902
E02000089,97.93103448275862
E02000090,91.0493827160494
E02000091,96.1038961038961
E02000092,94.92957746478872
E02000093,88.66995073891626
E02000094,96.3076923076923
E02000095,93.43863912515188
E02000096,94.73684210526315
