msoa11,mosa_residential_meanprice
E02000773,473912.4137922759
E02000774,418611.35449733335
E02000776,440500.0
E02000777,804251.7387819802
E02000779,322831.6326522449
E02000780,402305.6906901802
E02000781,538386.8301471983
E02000782,311851.3197728477
E02000783,390155.0242409091
E02000784,1961038.2490867577
E02000785,1137981.4655920225
E02000786,982451.5376891749
E02000787,839939.3922393749
E02000788,968058.1243635432
E02000789,1269109.4810457397
E02000790,1114736.715729697
E02000791,1269313.59424148
E02000792,1026460.5500737692
E02000793,606782.3100965
E02000794,733625.1167626254
E02000795,1731059.8759645133
E02000796,578460.8338143534
E02000797,641994.3313060902
E02000798,666990.2596061659
E02000799,992890.7433238341
E02000800,683879.5440251572
E02000801,949652.5095242858
E02000802,797824.5472156303
E02000803,617018.9503126296
E02000804,794861.8849357525
E02000805,764658.2397588674
E02000806,688330.7364874141
E02000807,566867.3279089761
E02000808,791438.7085661008
E02000809,746859.4861933861
E02000810,528257.3305387046
E02000812,740241.1088618324
E02000813,531112.9509387756
E02000814,553563.2361488249
E02000815,639788.1750226985
E02000816,427919.8329568372
E02000817,386652.61628104653
E02000818,521277.02301644516
E02000819,441800.10564674163
E02000820,518383.7959335887
E02000821,608500.0
E02000822,464380.63800738315
E02000823,568480.2342682742
E02000824,489338.17204370967
E02000825,371987.9329930986
E02000826,497375.588396087
E02000827,403148.08643560705
E02000828,526680.7987964305
E02000829,594731.2606990476
E02000830,753718.3688625582
E02000831,769670.0286556322
E02000832,599617.7455003044
E02000833,608821.8709230303
E02000834,828358.4521305182
E02000835,727007.2873893104
E02000836,872716.3891853174
E02000837,1562482.4555925583
E02000838,750996.1082611475
E02000839,1337011.7304241143
E02000840,373751.12878535717
E02000841,402522.0815372414
E02000842,530699.2085122024
E02000843,367595.10287139175
E02000844,452634.2296470068
E02000845,521368.2537931715
E02000846,494354.5249371233
E02000847,537056.0971881713
E02000848,520268.59028484614
E02000849,468470.2760587135
E02000850,476035.63908702426
E02000851,358592.3908692935
E02000852,446494.18654811766
E02000853,465685.2785324698
E02000854,521538.9003795876
E02000855,653718.2663357345
E02000856,446401.023429028
E02000857,378869.8275480309
E02000858,366966.33598166663
E02000859,511304.0358178095
E02000860,348160.9326510692
E02000861,801937.4554403226
E02000863,617849.2279901835
E02000864,459955.48219057143
E02000865,489772.8046604301
E02000866,710871.2709197463
E02000867,498396.7114233659
E02000868,577980.6934119666
E02000869,786056.54761875
E02000870,524709.7071045775
E02000871,387644.80104340205
E02000872,581551.5181914646
E02000873,610124.4131474647
E02000874,460274.94266055047
E02000875,405720.6096781818
E02000876,478777.4469335821
E02000877,487295.47583124996
E02000878,695707.3567964805
E02000879,584951.9230758975
E02000880,545831.6952654958
E02000881,486465.73741007195
E02000882,553896.2498738914
E02000883,387632.1501269595
E02000884,623062.0656825062
E02000885,523214.28571
E02000886,499949.3663405348
E02000887,376306.1304318261
E02000888,553634.6700066315
E02000889,1004108.4869801113
E02000890,788608.4346965962
E02000891,611658.9762072341
E02000893,501799.779979307
E02000894,543370.7874729378
E02000895,545306.8144498621
E02000896,578177.1511730448
E02000897,506799.66651987727
E02000898,552661.0836110811
E02000899,509652.6144732394
E02000900,426743.3611832857
E02000901,567520.1298460001
E02000902,494170.66682924365
E02000903,562707.1287798361
E02000904,542963.3438323215
E02000905,633223.767485
E02000906,594626.4164329412
E02000907,514539.7807777686
E02000908,514103.1719812757
E02000909,600487.653401976
E02000910,715036.5156027747
E02000911,489148.3643505118
E02000912,609954.7856584615
E02000913,579461.7720871085
E02000914,454909.5313102087
E02000915,521890.80806082254
E02000916,467424.11368574586
E02000917,525644.3980442253
E02000918,564463.9232608704
E02000919,602268.2292404951
E02000920,505766.56361
E02000921,512456.8112165891
E02000922,548233.3767470504
E02000923,1444772.896267464
E02000924,920093.1600579752
E02000925,918863.4137080576
E02000926,727367.2921525515
E02000927,748378.9709129714
E02000928,1170511.8247155896
E02000929,449217.6290958929
E02000930,924077.0061210415
E02000931,1129612.986135944
E02000932,796947.9744602974
E02000933,923061.8064499245
E02000934,762976.3637093676
E02000935,2109594.253844151
E02000936,670881.7314760324
E02000937,1382405.182157257
E02000938,746913.9835666394
E02000939,1618314.2705433334
E02000940,534662.6961337129
E02000941,799279.0659954458
E02000942,989159.6431183069
E02000943,797462.2387717001
E02000944,474879.1483496667
E02000945,599569.9957630769
E02000946,777388.5357186503
E02000947,847493.4875544506
E02000948,752823.1649343333
E02000949,1001029.155986628
E02000950,654615.193612
E02000951,764797.982710283
E02000952,927379.1321425242
E02000953,682155.5905060975
E02000954,808805.9769702831
E02000955,626871.8322545545
E02000956,574174.3162066666
E02000957,646384.2683080869
E02000958,765163.9145481148
E02000959,536021.2039287969
E02000960,2172129.246183221
E02000961,2079412.3243262458
E02000962,1724389.421010106
E02000963,782099.6928831337
E02000964,581156.6023316118
E02000965,839093.1872995239
E02000966,1721360.420344335
E02000967,1851786.3351702208
E02000968,709937.7498769072
E02000969,714780.3352937804
E02000970,3323737.6845735493
E02000971,2018154.3280294347
E02000972,2020158.8608261761
E02000973,1555771.3921895833
E02000974,1557743.3438618467
E02000975,1316005.9709599337
E02000976,1560376.7888151763
E02000977,3922371.1956612817
E02000978,5576039.280918247
E02000979,1220331.8057612556
E02000980,960976.7301021367
E02000981,1156389.5997603552
E02000982,2318395.2570844563
E02000983,1234712.0184356784
E02006782,528383.0720381818
E02006783,393018.77640136366
E02006784,433028.7926362759
E02006785,403708.269705431
E02006786,393737.2232820168
E02006787,506277.72209713055
E02006788,438383.45866908255
E02006789,674177.6698473973
E02006791,800279.2408738788
E02006792,980769.7780648046
E02006793,357094.7560371831
E02006794,357703.379065061
E02006795,517705.6915311538
E02006796,453595.103938268
E02006798,368373.39127729164
E02006799,356258.91250521975
E02006800,449609.3225660194
E02006801,1164565.7298638145
E02006802,669518.5738995015
E02006836,973840.3665429816
E02006853,425380.3787881818
E02006854,683028.6387224265
E02006882,624079.225838597
E02006918,463710.60147560283
E02006921,787840.0
E02006924,528046.5566903861
E02006925,592556.1256221428
E02006927,587412.5664925225
E02006928,473334.33996
E02006929,575744.6684439777
E02006930,638908.05160744
E02006931,799720.9365355624
