msoa11,average_retail_lifetime
E02000537,3671.0666666666666
E02000538,3494.293548387097
E02000539,3364.9169139465876
E02000540,3074.3388791593698
E02000541,3012.9927272727273
E02000542,3373.0813953488373
E02000543,3128.32497212932
E02000544,3305.4409448818897
E02000545,4136.766763848396
E02000546,3639.882051282051
E02000547,2771.1149825783973
E02000548,3580.0748663101604
E02000549,3338.6592356687897
E02000550,3885.138943248532
E02000551,3705.6254416961133
E02000552,4041.926282051282
E02000553,3596.4741379310344
E02000554,2388.752252252252
E02000555,2712.9347826086955
E02000556,2342.9858156028367
E02000557,2716.4343807763403
E02000558,2350.998245614035
E02000559,3014.5750528541225
E02000560,2179.0361445783133
E02000561,2214.5
E02000562,2516.276595744681
E02000563,2509.478260869565
E02000564,2367.3036144578314
E02000565,2603.375
E02000566,2703.808970099668
E02000567,2918.3139013452915
E02000568,2481.9101796407185
E02000569,2757.786036036036
E02000570,2429.0615034168563
E02000571,2603.006389776358
E02000572,2813.2934782608695
E02000573,2514.0573325286664
E02000574,2561.90133037694
E02000575,2684.425367904695
E02000576,2786.2997835497836
E02000577,6296.2668112798265
E02000578,6901.836431226766
E02000579,7003.983240223463
E02000580,6341.320224719101
E02000581,6912.588235294118
E02000582,5972.485193621867
E02000583,6293.071654373024
E02000584,6522.808447352766
E02000585,6588.0
E02000586,6196.171926006529
E02000587,6325.386002120891
E02000588,6050.2176
E02000589,6668.746894409938
E02000590,6489.12187299551
E02000591,6267.579268292683
E02000592,6327.219512195122
E02000593,6717.93670886076
E02000594,6412.304389312977
E02000595,6033.386178861789
E02000596,6668.9672131147545
E02000597,6652.443381180224
E02000598,3373.74
E02000599,1874.4714285714285
E02000600,3474.9706666666666
E02000601,2229.643859649123
E02000602,2320.6766784452298
E02000603,2138.9006211180126
E02000604,2738.2362790697675
E02000605,2143.6626506024095
E02000606,2506.3564944134077
E02000607,2082.64
E02000608,2896.6744588744587
E02000609,2240.758333333333
E02000610,2086.5967365967367
E02000611,2670.223140495868
E02000612,2165.4592592592594
E02000613,2344.3173076923076
E02000614,2211.6203090507724
E02000615,2513.4626556016597
E02000616,2134.7272727272725
E02000617,3105.222222222222
E02000619,2037.9076923076923
E02000620,2473.984939759036
E02000621,2271.8108808290153
E02000622,2347.7609756097563
E02000623,2508.8039215686276
E02000624,2591.8971962616824
E02000625,3384.135135135135
E02000626,2069.781690140845
E02000627,3339.6875
E02000628,1948.4843243243242
E02000629,2612.178125
E02000630,2484.795833333333
E02000631,2770.3508771929824
E02000632,2545.967289719626
E02000633,2444.3039513677813
E02000634,2824.7155963302753
E02000635,2215.3519313304723
E02000636,2914.679104477612
E02000637,2440.141176470588
E02000638,2562.4036697247707
E02000639,2452.3571428571427
E02000640,2401.8571428571427
E02000641,3139.375
E02000642,2274.6989247311826
E02000643,2833.2978723404253
E02000644,3726.247058823529
E02000645,2260.021978021978
E02000646,2500.501170960187
E02000647,2827.0
E02000648,3064.4827586206898
E02000649,2920.983333333333
E02000650,2688.962962962963
E02000651,2910.0694444444443
E02000652,3165.366666666667
E02000653,2555.9918032786886
E02000654,3029.585843373494
E02000655,2853.8877005347595
E02000657,2811.4926470588234
E02000658,2891.37125748503
E02000659,2768.5833333333335
E02000660,3293.1692913385828
E02000661,3377.9588431590655
E02000662,2890.436974789916
E02000663,3292.14332247557
E02000664,3095.0913288866086
E02000665,3009.301145662848
E02000666,3045.8888888888887
E02000667,3634.5367647058824
E02000668,3236.975138121547
E02000669,3145.1394302848576
E02000670,3262.4589665653493
E02000671,3226.709489051095
E02000672,3181.9233390119252
E02000673,2897.1182795698924
E02000674,3033.7978142076504
E02000675,3204.6
E02000676,3315.304761904762
E02000677,3372.239864864865
E02000678,3507.2441860465115
E02000679,3574.8284671532847
E02000680,3243.643431635389
E02000681,2908.975359342916
E02000682,3195.8888888888887
E02000683,3713.1
E02000685,3676.6029411764707
E02000686,3795.1546391752577
E02000687,2983.7290780141843
E02000689,148.0
E02000690,148.0
E02000691,148.0
E02000692,148.0
E02000693,148.0
E02000694,148.0
E02000695,148.0
E02000696,148.0
E02000697,148.0
E02000698,148.0
E02000699,148.0
E02000700,148.0
E02000701,148.0
E02000702,148.0
E02000703,148.0
E02000704,148.0
E02000705,148.0
E02000706,148.0
E02000707,148.0
E02000708,148.0
E02000709,148.0
E02000710,148.0
E02000711,148.0
E02000712,148.0
E02000713,148.0
E02000714,3176.5102040816328
E02000715,3316.2
E02000716,3612.6521739130435
E02000717,3191.581300813008
E02000718,3439.3529411764707
E02000719,3381.2321428571427
E02000720,2878.6153846153848
E02000721,3050.045267489712
E02000722,3151.8823529411766
E02000723,3575.655629139073
E02000724,2733.948717948718
E02000725,3117.2860576923076
E02000726,2224.165158371041
E02000727,2873.6580459770116
E02000728,4023.235294117647
E02000729,3331.301886792453
E02000730,3404.584033613445
E02000731,3586.7994011976048
E02000732,3547.6666666666665
E02000733,3863.5365853658536
E02000734,3317.3055555555557
E02000735,4384.856060606061
E02000736,4449.309523809524
E02000737,3749.327272727273
E02000738,3518.7402597402597
E02000739,3528.8285714285716
E02000740,3866.1666666666665
E02000741,3573.764705882353
E02000742,3575.875
E02000743,4066.5840707964603
E02000744,3932.676470588235
E02000745,4484.363636363636
E02000746,3422.6
E02000747,3139.565789473684
E02000748,4387.916666666667
E02000749,4119.5675675675675
E02000750,3491.070588235294
E02000751,2072.0367346938774
E02000752,2682.4444444444443
E02000753,1311.5
E02000754,2368.8070175438597
E02000755,1961.1304347826087
E02000756,2548.7868852459014
E02000757,2160.4545454545455
E02000758,3506.1020408163267
E02000759,2167.1955555555555
E02000760,3001.8311688311687
E02000762,1993.735576923077
E02000763,2075.448275862069
E02000764,2563.8637413394918
E02000765,2003.4561933534744
E02000767,2900.0689655172414
E02000768,2359.0
E02000769,2278.5775862068967
E02000770,2092.971223021583
E02000772,1946.6722408026756
E02000773,2057.5515463917527
E02000774,1921.8913738019169
E02000776,2658.2397260273974
E02000777,1736.55
E02000779,2368.2038834951454
E02000780,2402.7334593572778
E02000781,1888.7329192546583
E02000782,2053.6089285714284
E02000783,1803.1338028169014
E02000784,3230.891525423729
E02000785,3523.529715762274
E02000786,3134.02722323049
E02000787,3247.757785467128
E02000788,3171.5023696682465
E02000789,3342.9011976047905
E02000790,3164.7402298850575
E02000791,3260.045407098121
E02000792,3335.6690307328604
E02000793,3324.076819407008
E02000794,3117.4033613445376
E02000795,3306.7100977198697
E02000796,3035.8168498168498
E02000797,3253.435315757204
E02000798,3349.056105610561
E02000799,3037.9241379310347
E02000800,3625.1285714285714
E02000801,3445.9673024523163
E02000802,3432.1113043478263
E02000803,3704.931506849315
E02000804,3252.758691206544
E02000805,2580.5645645645645
E02000806,3635.334
E02000807,1407.9
E02000808,1430.8934274043818
E02000809,1386.65606242497
E02000810,1493.5100917431193
E02000812,1320.8775
E02000813,1351.4133333333334
E02000814,1395.2685950413222
E02000815,1427.4617142857144
E02000816,1348.2331034482759
E02000817,1690.6153846153845
E02000818,1665.6043329532497
E02000819,1354.6755952380952
E02000820,1551.6995515695066
E02000821,1302.0454545454545
E02000822,1416.0149892933619
E02000823,1392.7395061728396
E02000824,1346.6785046728971
E02000825,1828.0
E02000826,1361.0174418604652
E02000827,1361.577593360996
E02000828,1321.7223756906078
E02000829,1435.8787128712872
E02000830,1333.5548686244204
E02000831,1302.670430107527
E02000832,1374.7990654205607
E02000833,1450.1184210526317
E02000834,1354.4849699398796
E02000835,1300.6941176470589
E02000836,1315.6744186046512
E02000837,1274.1534391534392
E02000838,1371.8372703412074
E02000839,1258.2937062937062
E02000840,2855.845714285714
E02000841,2535.9331797235022
E02000842,3014.6334913112164
E02000843,2696.5471698113206
E02000844,3411.7521739130434
E02000845,3266.443579766537
E02000846,2910.740566037736
E02000847,2905.9453302961274
E02000848,2926.435294117647
E02000849,3104.983660130719
E02000850,2900.8525179856115
E02000851,2763.50792864222
E02000852,3769.3444108761328
E02000853,3410.3615384615387
E02000854,3200.4088748019017
E02000855,2914.6658595641647
E02000856,3498.8809523809523
E02000857,3416.088888888889
E02000858,3144.359523809524
E02000859,2564.4657534246576
E02000860,2641.0
E02000861,3042.059090909091
E02000863,2512.6195652173915
E02000864,967.1168316831684
E02000865,1046.8976545842218
E02000866,1035.0880989180835
E02000867,1036.5939393939393
E02000868,1008.8508287292817
E02000869,1003.046908315565
E02000870,1015.3070422535211
E02000871,982.4502617801047
E02000872,1003.3963963963964
E02000873,1024.1603260869565
E02000874,943.472131147541
E02000875,961.1735537190083
E02000876,1056.4177777777777
E02000877,1044.323113207547
E02000878,1057.214654910307
E02000879,1019.8837209302326
E02000880,1053.1570576540755
E02000881,963.1015625
E02000882,1188.6727272727273
E02000883,1004.1057884231537
E02000884,1105.4098440545808
E02000885,1022.6957364341085
E02000886,1048.48828125
E02000887,960.5350318471337
E02000888,1120.0915032679738
E02000889,1065.8068181818182
E02000890,1071.0757575757575
E02000891,989.1755829903979
E02000893,969.8846153846154
E02000894,918.6933333333334
E02000895,2682.7591240875913
E02000896,3017.248608534323
E02000897,3097.329411764706
E02000898,4562.166666666667
E02000899,2983.7949400798934
E02000900,2897.1096491228072
E02000901,2529.478873239437
E02000902,2421.311688311688
E02000903,3083.3333333333335
E02000904,2985.546391752577
E02000905,1915.486146095718
E02000906,2591.362869198312
E02000907,2387.352668213457
E02000908,1966.233830845771
E02000909,2721.8167938931297
E02000910,2693.5830258302585
E02000911,2696.872202591284
E02000912,2119.8947368421054
E02000913,3394.6457142857143
E02000914,2483.932584269663
E02000915,2822.6666666666665
E02000916,2386.992277992278
E02000917,1888.5180722891566
E02000918,2927.4214285714284
E02000919,2989.061281337047
E02000920,3284.7916666666665
E02000921,2708.5062893081763
E02000922,2688.1672131147543
E02000923,3158.8688524590166
E02000924,2678.331866197183
E02000925,3322.325980392157
E02000926,3323.0827586206897
E02000927,3082.0149253731342
E02000928,3272.5135135135133
E02000929,3497.868544600939
E02000930,3523.8580040187544
E02000931,3441.108108108108
E02000932,3317.640879120879
E02000933,3535.247813411079
E02000934,3245.906496062992
E02000935,3984.5272727272727
E02000936,3144.695652173913
E02000937,3984.928899082569
E02000938,3212.1696428571427
E02000939,4193.489583333333
E02000940,3083.4773384763744
E02000941,4049.3809523809523
E02000942,3648.9012567324953
E02000943,3551.941230486685
E02000944,3315.0
E02000945,3826.852233676976
E02000946,3331.6214057507987
E02000947,4221.647272727273
E02000948,3711.886956521739
E02000949,3442.4601113172544
E02000950,4041.0857142857144
E02000951,3091.0535714285716
E02000952,3230.4561403508774
E02000953,3320.217983651226
E02000954,3016.1013745704468
E02000955,3858.6297709923665
E02000956,3556.607843137255
E02000957,3148.5807860262007
E02000958,4588.45
E02000959,4280.0084745762715
E02006782,3400.8373493975905
E02006783,3468.792
E02006784,3337.251386321627
E02006785,3844.569696969697
E02006786,3108.504559270517
E02006787,4005.9294781382227
E02006788,3282.458823529412
E02006789,3283.6626262626264
E02006791,2133.4146341463415
E02006792,3636.192841880342
E02006794,3976.053811659193
E02006795,1967.990407673861
E02006796,2615.8317757009345
E02006798,2907.226238286479
E02006799,2363.8046272493575
E02006800,2139.7023554603857
E02006801,2572.084132055378
E02006802,1309.103448275862
E02006836,3370.745856353591
E02006853,923.3098360655738
E02006854,953.4281271596407
E02006882,2291.322625698324
E02006924,1982.4181034482758
E02006925,1880.5879120879122
E02006927,2478.0873015873017
E02006928,2693.254716981132
E02006929,1944.1964573268922
E02006930,2462.390105433901
E02006931,2691.716640502355
